accuracy	additional_scores	cv_folds	end_timestamp	experiment_name	feature_scaling	featureset	featureset_name	fold	folds_file	grid_objective	grid_score	grid_search	grid_search_folds	learner_name	min_feature_count	model_params	pearson	save_cv_folds	scikit_learn_version	score	shuffle	start_timestamp	stratified_folds	task	test_set_name	test_set_size	total_time	train_set_name	train_set_size	use_folds_file_for_grid_search	using_folds_file	version
0.98	{}	None	14 Dec 2018 13:06:07.853423	Iris_Evaluate	none	"[""example_iris_features""]"	example_iris			f1_score_micro	0.93	True	3	RandomForestClassifier	1	"{""bootstrap"": true, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 123456789, ""verbose"": 0, ""warm_start"": false}"		False	0.20.1	0.98	False	14 Dec 2018 13:06:05.508259	True	evaluate	test	50	0:00:02.345164	train	100	True	False	1.5.3
1.0	{}	None	14 Dec 2018 13:06:08.023807	Iris_Evaluate	none	"[""example_iris_features""]"	example_iris			f1_score_micro	0.96	True	3	SVC	1	"{""C"": 10.0, ""cache_size"": 1000, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""auto"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": false, ""random_state"": 123456789, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}"		False	0.20.1	1.0	False	14 Dec 2018 13:06:07.854916	True	evaluate	test	50	0:00:00.168891	train	100	True	False	1.5.3
0.98	{}	None	14 Dec 2018 13:06:08.067627	Iris_Evaluate	none	"[""example_iris_features""]"	example_iris			f1_score_micro	0.95	True	3	LogisticRegression	1	"{""C"": 100.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""max_iter"": 100, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 123456789, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"		False	0.20.1	0.98	False	14 Dec 2018 13:06:08.024674	True	evaluate	test	50	0:00:00.042953	train	100	True	False	1.5.3
0.96	{}	None	14 Dec 2018 13:06:08.111563	Iris_Evaluate	none	"[""example_iris_features""]"	example_iris			f1_score_micro	0.93	True	3	MultinomialNB	1	"{""alpha"": 0.1, ""class_prior"": null, ""fit_prior"": true}"		False	0.20.1	0.96	False	14 Dec 2018 13:06:08.068547	True	evaluate	test	50	0:00:00.043016	train	100	True	False	1.5.3
