acceptance criteria:
specimen_fvds	specimen_q	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_maxdev	specimen_drats
0.30	1.00	2	0.140	11.0	13.0	15.000	17.0
--------------------------------
er_sample_name	er_specimen_name	specimen_int_corr_anisotropy	Anisotropy_code	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_lab_field_dc_uT	specimen_int_min_uT	specimen_int_max_uT	WARNING
mc01a	mc01a	-	-	-	-	40.0	13.2	17.9	WARNING: No anisotropy correction
mc01b	mc01b	-	-	-	-	40.0	12.2	17.4	WARNING: No anisotropy correction
mc01d	mc01d	-	-	-	-	40.0	14.0	20.4	WARNING: No anisotropy correction
mc01g	mc01g	-	-	-	-	40.0	20.7	25.7	WARNING: No anisotropy correction
mc02f	mc02f	-	-	-	-	40.0	14.8	18.7	WARNING: No anisotropy correction
mc06h	mc06h	-	-	-	-	40.0	22.6	22.9	WARNING: No anisotropy correction
mc08a	mc08a	-	-	-	-	40.0	32.2	57.7	WARNING: No anisotropy correction
mc08b	mc08b	-	-	-	-	40.0	24.9	63.0	WARNING: No anisotropy correction
mc08g	mc08g	-	-	-	-	40.0	15.8	64.7	WARNING: No anisotropy correction
mc08h	mc08h	-	-	-	-	40.0	26.4	44.0	WARNING: No anisotropy correction
mc09a	mc09a	-	-	-	-	40.0	23.0	27.1	WARNING: No anisotropy correction
mc09b	mc09b	-	-	-	-	40.0	22.3	25.9	WARNING: No anisotropy correction
mc09d	mc09d	-	-	-	-	40.0	29.3	30.9	WARNING: No anisotropy correction
mc100e	mc100e2	-	-	-	-	25.0	4.9	11.0	WARNING: No anisotropy correction
mc100f	mc100f2	-	-	-	-	25.0	7.0	7.9	WARNING: No anisotropy correction
mc100g	mc100g2	-	-	-	-	25.0	5.0	13.8	WARNING: No anisotropy correction
mc103a	mc103a2	-	-	-	-	25.0	10.8	17.0	WARNING: No anisotropy correction
mc105a	mc105a2	-	-	-	-	25.0	16.2	31.8	WARNING: No anisotropy correction
mc105c	mc105c1	-	-	-	-	25.0	14.5	31.5	WARNING: No anisotropy correction
mc105d	mc105d1	-	-	-	-	25.0	23.1	30.9	WARNING: No anisotropy correction
mc105j	mc105j1	-	-	-	-	25.0	27.9	33.4	WARNING: No anisotropy correction
mc107d	mc107d2	-	-	-	-	25.0	10.9	18.2	WARNING: No anisotropy correction
mc107e	mc107e2	-	-	-	-	25.0	15.2	29.2	WARNING: No anisotropy correction
mc109a	mc109a1	-	-	-	-	25.0	31.7	43.2	WARNING: No anisotropy correction
mc109c	mc109c1	-	-	-	-	25.0	32.8	37.0	WARNING: No anisotropy correction
mc109d	mc109d1	-	-	-	-	25.0	30.2	38.1	WARNING: No anisotropy correction
mc109e	mc109e1	-	-	-	-	25.0	27.1	31.8	WARNING: No anisotropy correction
mc10a	mc10a	-	-	-	-	40.0	27.6	27.6	WARNING: No anisotropy correction
mc10d	mc10d	-	-	-	-	40.0	44.5	57.3	WARNING: No anisotropy correction
mc111d	mc111d2	-	-	-	-	25.0	17.6	29.0	WARNING: No anisotropy correction
mc111e	mc111e2	-	-	-	-	25.0	20.4	29.3	WARNING: No anisotropy correction
mc113a	mc113a2	-	-	-	-	25.0	7.2	20.3	WARNING: No anisotropy correction
mc113j	mc113j1	-	-	-	-	25.0	9.4	13.0	WARNING: No anisotropy correction
mc113m	mc113m1	-	-	-	-	25.0	10.6	13.6	WARNING: No anisotropy correction
mc115a	mc115a2	-	-	-	-	25.0	22.3	26.6	WARNING: No anisotropy correction
mc115b	mc115b1	-	-	-	-	25.0	18.5	31.8	WARNING: No anisotropy correction
mc116b	mc116b1	-	-	-	-	25.0	33.0	58.2	WARNING: No anisotropy correction
mc116j	mc116j2	-	-	-	-	25.0	21.8	57.5	WARNING: No anisotropy correction
mc117a	mc117a1	-	-	-	-	25.0	24.4	30.5	WARNING: No anisotropy correction
mc117b	mc117b1	-	-	1.00	-	25.0	25.1	32.3	WARNING: No anisotropy correction
mc117d	mc117d2	-	-	-	-	25.0	24.7	32.7	WARNING: No anisotropy correction
mc117e	mc117e2	-	-	-	-	25.0	24.6	33.4	WARNING: No anisotropy correction
mc119a	mc119a1	-	-	-	-	25.0	20.1	44.5	WARNING: No anisotropy correction
mc119b	mc119b1	-	-	-	-	25.0	22.8	45.8	WARNING: No anisotropy correction
mc119d	mc119d2	-	-	-	-	25.0	22.4	41.1	WARNING: No anisotropy correction
mc119e	mc119e2	-	-	-	-	25.0	22.2	44.0	WARNING: No anisotropy correction
mc119f	mc119f2	-	-	-	-	25.0	20.0	42.7	WARNING: No anisotropy correction
mc11b	mc11b	-	-	-	-	40.0	44.3	51.5	WARNING: No anisotropy correction
mc11c	mc11c	-	-	-	-	40.0	44.2	53.6	WARNING: No anisotropy correction
mc11e	mc11e	-	-	-	-	40.0	30.4	30.4	WARNING: No anisotropy correction
mc11h	mc11h	-	-	-	-	40.0	19.9	26.2	WARNING: No anisotropy correction
mc120a	mc120a1	-	-	-	-	25.0	23.9	27.3	WARNING: No anisotropy correction
mc120b	mc120b1	-	-	-	-	25.0	23.7	26.6	WARNING: No anisotropy correction
mc120b	mc120b2	-	-	-	-	25.0	24.2	27.8	WARNING: No anisotropy correction
mc120c	mc120c1	-	-	1.00	-	25.0	22.6	25.2	WARNING: No anisotropy correction
mc120f	mc120f1	-	-	-	-	25.0	20.1	26.1	WARNING: No anisotropy correction
mc121c	mc121c1	-	-	-	-	25.0	10.8	12.7	WARNING: No anisotropy correction
mc121d	mc121d1	1.16	AARM	-	-	25.0	19.0	20.1	
mc121e	mc121e1	-	-	-	-	25.0	10.0	20.3	WARNING: No anisotropy correction
mc121g	mc121g1	1.01	AARM	-	-	25.0	25.4	43.3	
mc121k	mc121k1	1.09	AARM	-	-	25.0	16.1	29.0	
mc121k	mc121k2	1.08	AARM	-	-	25.0	22.2	27.8	
mc123a	mc123a2	-	-	-	-	25.0	28.9	39.0	WARNING: No anisotropy correction
mc123b	mc123b1	-	-	-	-	25.0	22.7	45.5	WARNING: No anisotropy correction
mc123b	mc123b2	-	-	-	-	25.0	21.3	48.4	WARNING: No anisotropy correction
mc123c	mc123c3	-	-	-	-	25.0	23.2	41.4	WARNING: No anisotropy correction
mc125i	mc125i1	-	-	-	-	25.0	25.1	26.7	WARNING: No anisotropy correction
mc127a	mc127a2	-	-	-	-	25.0	33.4	47.1	WARNING: No anisotropy correction
mc127c	mc127c1	-	-	-	-	25.0	34.3	39.6	WARNING: No anisotropy correction
mc127d	mc127d1	-	-	-	-	25.0	33.8	37.9	WARNING: No anisotropy correction
mc128b	mc128b2	-	-	-	-	25.0	31.1	36.3	WARNING: No anisotropy correction
mc128c	mc128c2	-	-	-	-	25.0	31.5	45.9	WARNING: No anisotropy correction
mc128j	mc128j1	-	-	-	-	25.0	29.2	39.4	WARNING: No anisotropy correction
mc129b	mc129b1	-	-	-	-	25.0	11.9	17.0	WARNING: No anisotropy correction
mc129c	mc129c1	-	-	-	-	25.0	11.6	16.0	WARNING: No anisotropy correction
mc129c	mc129c2	-	-	-	-	25.0	11.1	11.4	WARNING: No anisotropy correction
mc129l	mc129l1	-	-	-	-	25.0	10.3	18.6	WARNING: No anisotropy correction
mc130h	mc130h1	-	-	-	-	25.0	35.1	40.6	WARNING: No anisotropy correction
mc131b	mc131b1	-	-	-	-	25.0	15.0	22.3	WARNING: No anisotropy correction
mc131c	mc131c2	-	-	-	-	25.0	16.1	17.8	WARNING: No anisotropy correction
mc131d	mc131d2	-	-	-	-	25.0	15.5	17.0	WARNING: No anisotropy correction
mc131e	mc131e1	-	-	-	-	25.0	15.4	22.0	WARNING: No anisotropy correction
mc131g	mc131g1	-	-	-	-	25.0	16.3	23.3	WARNING: No anisotropy correction
mc132e	mc132e2	-	-	0.99	-	25.0	2.6	4.4	WARNING: No anisotropy correction
mc132f	mc132f2	-	-	-	-	25.0	2.8	3.6	WARNING: No anisotropy correction
mc132g	mc132g2	-	-	0.99	-	25.0	2.1	3.6	WARNING: No anisotropy correction
mc132h	mc132h2	-	-	-	-	25.0	2.5	3.7	WARNING: No anisotropy correction
mc132i	mc132i2	-	-	-	-	25.0	3.1	3.8	WARNING: No anisotropy correction
mc132j	mc132j1	-	-	-	-	25.0	2.6	3.4	WARNING: No anisotropy correction
mc133f	mc133f1	-	-	-	-	25.0	34.3	59.6	WARNING: No anisotropy correction
mc133g	mc133g1	-	-	-	-	25.0	41.0	48.1	WARNING: No anisotropy correction
mc133l	mc133l1	-	-	-	-	25.0	23.8	29.3	WARNING: No anisotropy correction
mc134c	mc134c2	-	-	-	-	25.0	23.4	23.4	WARNING: No anisotropy correction
mc135a	mc135a1	-	-	-	-	25.0	23.9	31.9	WARNING: No anisotropy correction
mc135c	mc135c2	-	-	-	-	25.0	11.6	51.7	WARNING: No anisotropy correction
mc139c	mc139c1	-	-	-	-	25.0	16.3	26.7	WARNING: No anisotropy correction
mc13a	mc13a	-	-	-	-	40.0	25.2	30.1	WARNING: No anisotropy correction
mc13b	mc13b	-	-	-	-	40.0	12.9	30.6	WARNING: No anisotropy correction
mc13c	mc13c	-	-	-	-	40.0	27.0	33.5	WARNING: No anisotropy correction
mc13d	mc13d	-	-	-	-	40.0	24.3	35.3	WARNING: No anisotropy correction
mc140a	mc140a1	-	-	-	-	25.0	13.6	33.3	WARNING: No anisotropy correction
mc140b	mc140b1	-	-	-	-	25.0	13.7	19.0	WARNING: No anisotropy correction
mc140c	mc140c1	-	-	-	-	25.0	13.2	14.1	WARNING: No anisotropy correction
mc140d	mc140d1	-	-	-	-	25.0	16.8	39.7	WARNING: No anisotropy correction
mc142c	mc142c1	1.01	AARM	-	-	25.0	11.6	13.5	
mc142d	mc142d1	1.02	AARM	-	-	25.0	12.2	14.3	
mc142e	mc142e2	0.98	AARM	-	-	25.0	13.9	14.4	
mc142f	mc142f2	0.98	AARM	-	-	25.0	13.7	14.3	
mc142k	mc142k2	0.93	AARM	-	-	25.0	16.1	25.4	
mc144e	mc144e1	1.28	AARM	-	-	25.0	15.8	24.1	
mc144f	mc144f1	1.21	AARM	-	-	25.0	13.0	27.6	
mc144h	mc144h1	1.09	AARM	-	-	25.0	6.2	7.9	
mc144j	mc144j2	-	-	-	-	25.0	7.8	13.0	WARNING: No anisotropy correction
mc144k	mc144k1	-	-	-	-	25.0	8.9	12.4	WARNING: No anisotropy correction
mc145c	mc145c2	-	-	-	-	25.0	5.9	10.8	WARNING: No anisotropy correction
mc145f	mc145f1	-	-	-	-	25.0	5.9	10.5	WARNING: No anisotropy correction
mc145k	mc145k2	-	-	-	-	25.0	5.6	11.4	WARNING: No anisotropy correction
mc145l	mc145l1	-	-	-	-	25.0	6.5	11.9	WARNING: No anisotropy correction
mc146e	mc146e1	-	-	-	-	25.0	14.2	27.6	WARNING: No anisotropy correction
mc146f	mc146f1	-	-	-	-	25.0	12.4	25.7	WARNING: No anisotropy correction
mc146j	mc146j2	-	-	-	-	25.0	6.6	7.6	WARNING: No anisotropy correction
mc147a	mc147a1	-	-	-	-	25.0	25.1	27.9	WARNING: No anisotropy correction
