accuracy	additional_scores	cv_folds	end_timestamp	experiment_name	feature_scaling	featureset	featureset_name	fold	folds_file	grid_objective	grid_score	grid_search	grid_search_folds	learner_name	min_feature_count	model_params	pearson	save_cv_folds	scikit_learn_version	score	shuffle	start_timestamp	stratified_folds	task	test_set_name	test_set_size	total_time	train_set_name	train_set_size	use_folds_file_for_grid_search	using_folds_file	version
	{}	None	11 Feb 2018 09:28:26.359313	Example_Evaluate	none	"[""example_boston_features""]"	example_boston			unweighted_kappa	0.12242473679815433	True	3	RandomForestRegressor	1	"{""bootstrap"": true, ""criterion"": ""mse"", ""max_depth"": null, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 123456789, ""verbose"": 0, ""warm_start"": false}"	0.9292091798145676	False	0.19.1	0.1445896576400134	False	11 Feb 2018 09:28:20.018948	True	evaluate	test	167	0:00:06.340365	train	339	True	False	1.5
	{}	None	11 Feb 2018 09:28:27.103356	Example_Evaluate	none	"[""example_boston_features""]"	example_boston			unweighted_kappa	0.04376616331105817	True	3	SVR	1	"{""C"": 10.0, ""cache_size"": 1000, ""coef0"": 0.0, ""degree"": 3, ""epsilon"": 0.1, ""gamma"": 0.01, ""kernel"": ""rbf"", ""max_iter"": -1, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}"	0.6092547809367241	False	0.19.1	0.07835947835947821	False	11 Feb 2018 09:28:26.361871	True	evaluate	test	167	0:00:00.741485	train	339	True	False	1.5
	{}	None	11 Feb 2018 09:28:27.347070	Example_Evaluate	none	"[""example_boston_features""]"	example_boston			unweighted_kappa	0.0	True	3	LinearRegression	1	"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": 1, ""normalize"": false}"	0.85047020894131	False	0.19.1	0.0826233183856504	False	11 Feb 2018 09:28:27.105052	True	evaluate	test	167	0:00:00.242018	train	339	True	False	1.5
