iam
***


Description
===========

CLIs for managing users, groups, compartments, and policies.


Available Commands
==================

* auth-token

  * create

  * delete

  * list

  * update

* availability-domain

  * list

* compartment

  * create

  * delete

  * get

  * list

  * update

* customer-secret-key

  * create

  * delete

  * list

  * update

* dynamic-group

  * create

  * delete

  * get

  * list

  * update

* fault-domain

  * list

* group

  * add-user

  * create

  * delete

  * get

  * list

  * list-users

  * remove-user

  * update

* policy

  * create

  * delete

  * get

  * list

  * update

* region

  * list

* region-subscription

  * create

  * list

* smtp-credential

  * create

  * delete

  * list

  * update

* tag

  * create

  * get

  * list

  * list-cost-tracking

  * reactivate

  * retire

  * update

* tag-namespace

  * create

  * get

  * list

  * reactivate

  * retire

  * update

* user

  * api-key

    * delete

    * list

    * upload

  * create

  * delete

  * get

  * list

  * list-groups

  * swift-password

    * create

    * delete

    * list

    * update

  * ui-password

    * create-or-reset

  * update

  * update-user-state

* work-request

  * get

  * list
