featureset_name	learner_name	objective	train_set_name	training_set_size	train_score_mean	test_score_mean	train_score_std	test_score_std	scikit_learn_version	version
baseline	DecisionTreeRegressor	r2	aloukina	26	0.4092496971394447	-0.2134548603591023	0.15950199460682787	0.16809136190418694	0.18.1	1.2.1
baseline	DecisionTreeRegressor	r2	aloukina	87	0.28205077151150015	-0.016120762183199123	0.0909924522730917	0.1855620142271238	0.18.1	1.2.1
baseline	DecisionTreeRegressor	r2	aloukina	147	0.2453381154792126	0.04028331765000222	0.06848865420194997	0.15002727816517417	0.18.1	1.2.1
baseline	DecisionTreeRegressor	r2	aloukina	207	0.2180865194229611	0.048369298750918964	0.05522312065273376	0.15301923832338643	0.18.1	1.2.1
baseline	DecisionTreeRegressor	r2	aloukina	268	0.19767367891431536	0.06662264996948195	0.03172452509259388	0.1558981532720543	0.18.1	1.2.1
baseline	DecisionTreeRegressor	neg_mean_squared_error	aloukina	26	-2.3540980769230773	-5.389700169983416	1.0561586240460525	0.6820531644317195	0.18.1	1.2.1
baseline	DecisionTreeRegressor	neg_mean_squared_error	aloukina	87	-3.1312445327182394	-4.50988618871767	0.5395599532030071	0.7744107572770635	0.18.1	1.2.1
baseline	DecisionTreeRegressor	neg_mean_squared_error	aloukina	147	-3.2956790939674137	-4.291928648994209	0.40477740983901206	0.8383805633127668	0.18.1	1.2.1
baseline	DecisionTreeRegressor	neg_mean_squared_error	aloukina	207	-3.484305000543671	-4.257086776118557	0.3414818504839426	0.8477011665700562	0.18.1	1.2.1
baseline	DecisionTreeRegressor	neg_mean_squared_error	aloukina	268	-3.6357879085645464	-4.178884422732635	0.20791478156554272	0.8708014559726478	0.18.1	1.2.1
baseline	LinearRegression	r2	aloukina	26	0.040325957126422965	0.01841828309534351	0.03057884345007339	0.04393521638691813	0.18.1	1.2.1
baseline	LinearRegression	r2	aloukina	87	0.041442337244580595	0.018260326610738765	0.023296127684430044	0.0358102434087597	0.18.1	1.2.1
baseline	LinearRegression	r2	aloukina	147	0.03867739432136068	0.014480957278150342	0.014352669576672578	0.04019617463770691	0.18.1	1.2.1
baseline	LinearRegression	r2	aloukina	207	0.037767390773934054	0.014488951957005858	0.011038897537104003	0.0423635364276489	0.18.1	1.2.1
baseline	LinearRegression	r2	aloukina	268	0.03514258774479018	0.0214277245640786	0.0059376644294822705	0.03556023828735185	0.18.1	1.2.1
baseline	LinearRegression	neg_mean_squared_error	aloukina	26	-3.782082515056877	-4.434288887504442	1.1515219315103393	0.8613717505080373	0.18.1	1.2.1
baseline	LinearRegression	neg_mean_squared_error	aloukina	87	-4.192086114901199	-4.4244324410975935	0.5919175586355151	0.776092643888566	0.18.1	1.2.1
